name,mass_msun_somers,mass_spotless_msun,teff_k,lstar_lsun,log_macc,log_lacc,radius_au,dist_pc,reference,category,mass_calibration,spot_coverage_fraction,mass_msun,mass_kg,lacc_w,power_density_w_per_kg
J16124373-3815031,0.5468437158469945,0.47,3705,0.39,-9.084,-2.19,11.1895,159.85,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.5468437158469945,1.0873823236502732e+30,2.4715643887446614e+24,2.2729488377627632e-06
J16134410-3736462,0.111695737704918,0.096,3125,0.039,-9.012,-2.49,117.327,158.55,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.111695737704918,2.221036235540983e+29,1.2387165187266164e+24,5.577200852938356e-06
AKC2006-18,0.0511938797814207,0.044,2935,0.01,-10.99,-4.6,0.0,151.87,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.0511938797814207,1.0179749412896162e+29,9.61550125981868e+21,9.445715085714521e-08
J154518.5-342125,0.0721368306010929,0.062,2935,0.04,-10.54,-4.29,0.0,153.02,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.0721368306010929,1.434419235453552e+29,1.9632333779189444e+22,1.368660799712565e-07
Lup706,0.0500303825136612,0.043,2795,0.002,-11.63,-5.0,0.0,170.7,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.0500303825136612,9.948391471693989e+28,3.8280000000000005e+21,3.847858230038245e-08
SONYC-Lup3-7,0.0267604371584699,0.023,2600,0.01,-10.88,-4.85,0.0,155.85,"Alcala+14,17,19",young_stellar_objects,somers_2020_spots,0.17,0.0267604371584699,5.321232647650264e+28,5.407193720815909e+21,1.016154353484921e-07
J10555973-7724399,0.9110183606557378,0.783,4060,0.236,-8.42,-1.12,20.1828,183.48,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.9110183606557378,1.811532679613115e+30,2.9038349572117147e+25,1.6029713346556245e-05
J10563044-7711393,0.8156115846994536,0.701,4060,0.548,-9.18,-2.12,139.1621,180.73,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.8156115846994536,1.6218191678273225e+30,2.9038349572117147e+24,1.790480107040448e-06
J10580597-7711501,0.0814448087431694,0.07,3060,0.019,-11.45,-4.94,20.5854,187.14,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.0814448087431694,1.6195055884153006e+29,4.3951320630900634e+21,2.713872736549638e-08
J10581677-7717170,1.627732677595629,1.399,4900,1.649,-7.55,-0.33,118.42,190.0,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,1.627732677595629,3.23669759741858e+30,1.7904901208473945e+26,5.531842462747819e-05
J10590108-7722407,0.8342275409836066,0.717,4060,0.497,-8.62,-1.53,42.1176,183.12,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.8342275409836066,1.658836438419672e+30,1.1297228919678924e+25,6.810333229984677e-06
J11004022-7619280,0.2222279781420765,0.191,3270,0.145,-8.869,-2.29,48.2525,193.01,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.2222279781420765,4.418936676961749e+29,1.9632333779189444e+24,4.442773276553876e-06
J11022491-7733357,1.627732677595629,1.399,4900,2.045,-8.0,-0.89,47.75,190.0,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,1.627732677595629,3.23669759741858e+30,4.931419283881317e+25,1.5235959293244935e-05
J11023265-7729129,0.3350872131147541,0.288,3415,0.367,-10.28,-3.64,80.22,190.0,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.3350872131147541,6.66310870662295e+29,8.769441374795032e+22,1.3161186108337756e-07
J11025504-7721508,0.2024485245901639,0.174,3200,0.199,-8.449,-2.01,42.366,184.2,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.2024485245901639,4.025628176918032e+29,3.740864081818845e+24,9.292621964611748e-06
J11040425-7639328,0.1593991256830601,0.137,3200,0.038,-10.44,-3.75,17.5014,194.46,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.1593991256830601,3.169603794469946e+29,6.807253581628996e+22,2.147667034443141e-07
J11040909-7627193,0.921489836065574,0.792,4350,2.114,-6.27,0.53,34.191,189.95,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.921489836065574,1.832354894321312e+30,1.2970954297008673e+27,0.0007078843916758276
J11044258-7741571,0.2245549726775956,0.193,3270,0.127,-10.25,-3.63,26.7078,190.77,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.2245549726775956,4.465208265202186e+29,8.973707905044664e+22,2.009695264379417e-07
