sub_realm,group,system,mass_kg,er_w,power_density_w_per_kg,comments,reference,segment,color,data_source
ii) bacteria,bacteria: EMR (2),Klebsiella aerogenes,3e-16,2.12e-15,7.07,,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,bacteria: EMR (2),Paracoccus denitrificans,1.6e-16,9.39e-16,5.87,,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,bacteria: EMR (2),Chlamydomonas reinhardtii,1.94e-14,2.91e-13,15.0,,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,bacteria: EMR (2),Chlorolla pyrenoidosa,3e-14,2.31e-13,7.7,,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,bacteria: EMR (2),Selenastrum capricornutum,2.24e-14,4.71e-13,21.0,,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Prokaryotes = bacteria and archaea,inactive,9.84e-18,1.45e-18,0.148,lower value of bulk mass in g; metabolic rate read from fit in Figure 1 as ERin,"J.P. DeLong et al., “Shifts in metabolic scaling, production, and efficiency across major evolutionary transitions of life”, Proc. Natl. Acad. Sci. U.S.A., 107 (2010) 12941.",Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Prokaryotes = bacteria and archaea,,3.46e-14,1.45e-12,42.0,upper value of bulk mass in g; metabolic rate read from fit in Figure 1 as ERin,   ,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Prokaryotes = bacteria and archaea,active,1.36e-17,9.4e-18,0.689,lower value of mass in g; metabolic rate read from fit in Figure 1 as ERin,   ,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Prokaryotes = bacteria and archaea,,2.12e-14,1.37e-11,644.0,upper value of mass in g; metabolic rate read from fit in Figure 1 as ERin,   ,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Escherichia coli fastest growth, ,1.2e-15,6.96e-12,5800.0,mass in g; ERin calculated by multiplying specific metabolic rate with mass in g,"A.M. Makarieva, V.G. Gorshkov and B-L. Li, “Energetics of the smallest: Do bacteria breathe at the same rate as whale ?”, Proc. R. Soc. B, 272 (2005) 2219",Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,endogenous prokaryotes,lower,3.16e-17,4.12e-17,1.3,lower mass in g read from plot; lower metabolic rate calculated using alfa and beta from table as lower ERin,"C.A. Aguilar-Trigueros et al., ""Applying allometric theory to fungi"", ISME J, (2017) 1; data from J.P. DeLong et al., “Shifts in metabolic scaling, production, and efficiency across major evolutionary transitions of life”, Proc. Natl. Acad. Sci. U.S.A., 107 (2010) 12941.",Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,endogenous prokaryotes,upper,3.16e-14,2.66e-13,8.41,upper mass in g read from plot; upper metabolic rate calculated using alfa and beta from table as upper ERin,   ,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,active prokaryotes,lower,3.16e-17,1.17e-16,3.72,idem,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,active prokaryotes,upper,1e-14,2.09e-12,209.0,idem,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,heterotrophic prokaryotes: EMR,lower,1e-17,9.33e-18,0.933,lower wet body mass; lower endogenous metabolic rate calculated from specific endogenous metabolic rate via fitted equation times wet body mass as ERin,"A.M. Makarieva et al., “Mean mass-specific metabolic rates are strikingly similar across life’s major domains: Evidence for life’s metabolic optimum”, Proc. Natl. Acad. Sci. U.S.A., 105 (2008) 16994. ",Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,heterotrophic prokaryotes: EMR,upper,4e-14,8.03e-13,20.1,upper wet body mass; upper endogenous metabolic rate calculated from specific endogenous metabolic rate via fitted equation times wet body mass as ERin,   ,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Proteobacteria: growth,lower,2e-16,6e-13,3000.0,"data for bacteria classes: lower wet cell mass in pg with some original data for dry mass have been converted to wet mass by multiplying with 5; lower, growth ERin calculated by multiplying lower, growth metabolic rate in W/kg wet mass by mass in pg","A.M. Makarieva, V.G. Gorshkov and B-L. Li, “Energetics of the smallest: Do bacteria breathe at the same rate as whale ?”, Proc. R. Soc. B, 272 (2005) 2219",Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Proteobacteria: growth,upper,2e-11,3e-10,15.0,"data for bacteria classes: lower wet cell mass in pg with some original data for dry mass have been converted to wet mass by multiplying with 5; upper, growth ERin calculated by multiplying upper, growth metabolic rate in W/kg wet mass by mass in pg",   ,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Firmicutes: growth,lower,1.4e-17,3.052e-15,218.0,idem,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Firmicutes: growth,upper,3.8e-15,2.698e-14,7.1,idem,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Actinobacteria: growth,lower,2e-16,2.14e-14,107.0,,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Actinobacteria: growth,upper,5e-16,1.55e-14,31.0,,,Prokaryotes,#946B3A,van Duin (2024)
ii) bacteria,Spirochaetes: growth,,7e-17,6.23e-15,89.0,,,Prokaryotes,#946B3A,van Duin (2024)
iii) eukaryotes,protozoa: EMR (1),lower,7e-15,6.58e-13,94.0,"lower wet cell mass in pg with some original data for dry mass have been converted to wet mass by multiplying with 5; lower, endogenous ERin calculated by multiplying lower, endogenous metabolic rate in W/kg wet mass by mass in pg","A.M. Makarieva, V.G. Gorshkov and B-L. Li, “Energetics of the smallest: Do bacteria breathe at the same rate as whale ?”, Proc. R. Soc. B, 272 (2005) 2219",Eukaryotes,#527A96,van Duin (2024)
iii) eukaryotes,protozoa: EMR (1),upper,2.24e-07,4.48e-08,0.2,"upper wet cell mass in pg with some original data for dry mass have been converted to wet mass by multiplying with 5; upper, endogenous ERin calculated by multiplying upper, endogenous metabolic rate in W/kg wet mass by mass in pg",   ,Eukaryotes,#527A96,van Duin (2024)
iii) eukaryotes,protozoa: EMR (2),lower,2.5e-14,9.25e-13,37.0,idem,,Eukaryotes,#527A96,van Duin (2024)
iii) eukaryotes,protozoa: EMR (2),upper,2.76e-07,1.66e-07,0.6,idem,,Eukaryotes,#527A96,van Duin (2024)
iii) eukaryotes,protozoa growth,lower,5e-14,3.12e-11,623.0,"lower growth cell mass in pg with some original data for dry mass have been converted to wet mass by multiplying with 5; lower, growth ERin calculated by multiplying lower, growth metabolic rate in W/kg wet mass by mass in pg","A.M. Makarieva, V.G. Gorshkov and B-L. Li, “Energetics of the smallest: Do bacteria breathe at the same rate as whale ?”, Proc. R. Soc. B, 272 (2005) 2219",Eukaryotes,#527A96,van Duin (2024)
iii) eukaryotes,protozoa growth,upper,7.1e-08,2.13e-08,0.3,"upper growth cell mass in pg with some original data for dry mass have been converted to wet mass by multiplying with 5; upper, growth ERin calculated by multiplying upper, growth metabolic rate in W/kg wet mass by mass in pg",   ,Eukaryotes,#527A96,van Duin (2024)
iii) eukaryotes,protozoa: EMR (3),lower,9e-15,9.7e-14,10.8,lower wet body mass; lower endogenous metabolic rate calculated from specific endogenous metabolic rate via fitted equationtimes wet body mass as ERin,"A.M. Makarieva et al., “Mean mass-specific metabolic rates are strikingly similar across life’s major domains: Evidence for life’s metabolic optimum”, Proc. Natl. Acad. Sci. U.S.A., 105 (2008) 16994. ",Eukaryotes,#527A96,van Duin (2024)
iii) eukaryotes,protozoa: EMR (3),upper,2e-07,7.82e-07,3.91,upper wet body mass; upper endogenous metabolic rate calculated from specific endogenous metabolic rate via fitted equation times wet body mass as ERin,   ,Eukaryotes,#527A96,van Duin (2024)
iii) eukaryotes,protists = uni-cellular eukaryotes,inactive,9.37e-15,3.47e-14,3.71,lower value of bulk mass in g; lower metabolic rate read from fit in Figure 1 as ERin,"J.P. DeLong et al., “Shifts in metabolic scaling, production, and efficiency across major evolutionary transitions of life”, Proc. Natl. Acad. Sci. U.S.A., 107 (2010) 12941.",Eukaryotes,#527A96,van Duin (2024)
iii) eukaryotes,protists = uni-cellular eukaryotes,,1.89e-07,2.54e-06,13.5,upper value of bulk mass in g; upper metabolic rate read from fit in Figure 1 as ERin,   ,Eukaryotes,#527A96,van Duin (2024)
iii) eukaryotes,protists = uni-cellular eukaryotes,active,3.46e-14,3.93e-13,11.4,lower value of mass in g; lower metabolic rate read from fit in Figure 1 as ERin,  ,Eukaryotes,#527A96,van Duin (2024)
iii) eukaryotes,protists = uni-cellular eukaryotes,,3.14e-08,4.74e-07,15.1,upper value of mass in g; upper metabolic rate read from fit in Figure 1 as ERin, ,Eukaryotes,#527A96,van Duin (2024)
iii) eukaryotes,endogenous protists,lower,1e-14,4.47e-14,4.47,lower mass in g read from plot; lower metabolic rate calculated using alfa and beta from table as lower ERin,"C.A. Aguilar-Trigueros et al., ""Applying allometric theory to fungi"", ISME J, (2017) 1; data from J.P. DeLong et al., “Shifts in metabolic scaling, production, and efficiency across major evolutionary transitions of life”, Proc. Natl. Acad. Sci. U.S.A., 107 (2010) 12941.",Eukaryotes,#527A96,van Duin (2024)
iii) eukaryotes,endogenous protists,upper,3.16e-07,4.22e-07,1.33,upper mass in g read from plot; upper metabolic rate calculated using alfa and beta from table as upper ERin, ,Eukaryotes,#527A96,van Duin (2024)
iii) eukaryotes,active protists,lower,3.16e-14,1.05e-12,33.1,idem,,Eukaryotes,#527A96,van Duin (2024)
iii) eukaryotes,active protists,upper,3.16e-08,2.63e-07,8.32,idem,,Eukaryotes,#527A96,van Duin (2024)
iii) eukaryotes,"metazoans = small, multi-cellular, aquatic animals",inactive,8.09e-06,9.4e-06,1.16,lower value of bulk mass in g; lower metabolic rate read from fit in Figure 1 as ERin,"J.P. DeLong et al., “Shifts in metabolic scaling, production, and efficiency across major evolutionary transitions of life”, Proc. Natl. Acad. Sci. U.S.A., 107 (2010) 12941.",Multicellular,#588B5C,van Duin (2024)
iii) eukaryotes,"metazoans = small, multi-cellular, aquatic animals",,0.388,0.0347,0.0895,upper value of bulk mass in g; upper metabolic rate read from fit in Figure 1 as ERin, ,Multicellular,#588B5C,van Duin (2024)
iii) eukaryotes,"metazoans = small, multi-cellular, aquatic animals",active,1.2e-09,2.39e-08,20.0,lower value of mass in g; lower metabolic rate read from fit in Figure 1 as ERin, ,Multicellular,#588B5C,van Duin (2024)
iii) eukaryotes,"metazoans = small, multi-cellular, aquatic animals",,0.538,0.186,0.347,upper value of mass in g; upper metabolic rate read from fit in Figure 1 as ERin, ,Multicellular,#588B5C,van Duin (2024)
iii) eukaryotes,aquatic invertebrates,lower,3e-09,3.52e-08,11.7,lower bulk body mass; lower metabolic rate calculated from specific metabolic rate via fitted equation times bulk body mass as ERin,"A.M. Makarieva et al., “Mean mass-specific metabolic rates are strikingly similar across life’s major domains: Evidence for life’s metabolic optimum”, Proc. Natl. Acad. Sci. U.S.A., 105 (2008) 16994. ",Multicellular,#588B5C,van Duin (2024)
iii) eukaryotes,aquatic invertebrates,upper,10.0,1.17,0.117,upper bulk body mass; upper metabolic rate calculated from specific metabolic rate via fitted equation times bulk body mass as ERin, ,Multicellular,#588B5C,van Duin (2024)
iii) eukaryotes,Crustacea: copepods and krill,lower,3e-09,5.94e-08,19.8,idem,,Multicellular,#588B5C,van Duin (2024)
iii) eukaryotes,Crustacea: copepods and krill,upper,0.006,0.00153,0.255,idem,,Multicellular,#588B5C,van Duin (2024)
iii) eukaryotes,Crustacea: peracarids,lower,8e-08,6.92e-07,8.65,,,Multicellular,#588B5C,van Duin (2024)
iii) eukaryotes,Crustacea: peracarids,upper,0.05,0.0103,0.206,,,Multicellular,#588B5C,van Duin (2024)
iii) eukaryotes,Crustacea: decapods,lower,5e-07,4.7e-06,9.4,,,Multicellular,#588B5C,van Duin (2024)
iii) eukaryotes,Crustacea: decapods,upper,0.9,0.0974,0.108,,,Multicellular,#588B5C,van Duin (2024)
iii) eukaryotes,Mollusca: cephalopods,lower,1e-06,5.25e-06,5.25,,,Multicellular,#588B5C,van Duin (2024)
iii) eukaryotes,Mollusca: cephalopods,upper,10.0,2.88,0.288,,,Multicellular,#588B5C,van Duin (2024)
