name,category,track,mass_kg,mass_msun,mdot_kg_s,radius_m,eta,luminosity_w,power_density_w_per_kg,phi_source,mass_kg_err,power_density_w_per_kg_lo,power_density_w_per_kg_hi,dubus_table
HS Vir,cataclysmic_variables,nuclear,1.3521596e+30,0.68,2900000000000.0,8702520.41881313,0.007,1.8244730128357398e+27,0.0013493030059733627,computed_from_mdot,2.7838580000000004e+29,0.0008488466345400128,0.0021092552737054866,A2
HW Boo,cataclysmic_variables,gravitational,1.4913525e+30,0.75,1150000000000.0,8422886.219205303,,2.371250475e+25,1.59e-05,tabulated_erd,,,,
HW Boo,cataclysmic_variables,nuclear,1.4913525e+30,0.75,1150000000000.0,8422886.219205303,0.007,7.234979188831382e+26,0.00048512871295226193,computed_from_mdot,2.982705e+29,0.00017577127280879055,0.0009491648731674691,A2
HX Peg,cataclysmic_variables,gravitational,1.4913525e+30,0.75,150000000000000.0,8422886.219205303,,3.1020131999999997e+27,0.00208,tabulated_erd,,,,
HX Peg,cataclysmic_variables,nuclear,1.4913525e+30,0.75,150000000000000.0,8422886.219205303,0.007,9.436929376736585e+28,0.0632776582111646,computed_from_mdot,2.982705e+29,0.03866968001793392,0.10018962550101061,A2
IR Gem,cataclysmic_variables,gravitational,1.3720443e+30,0.69,7500000000000.0,8660274.50875726,,1.5504100589999997e+26,0.00011299999999999998,tabulated_erd,,,,
IR Gem,cataclysmic_variables,nuclear,1.3720443e+30,0.69,7500000000000.0,8660274.50875726,0.007,4.7184646883682925e+27,0.00343900316365025,computed_from_mdot,2.7838580000000004e+29,0.002287144272692696,0.005177262944549831,A2
IX Dra,cataclysmic_variables,gravitational,2.783858e+30,1.4,11000000000000.0,6840775.583033503,,2.2688442699999994e+26,8.149999999999999e-05,tabulated_erd,,,,
IX Dra,cataclysmic_variables,nuclear,2.783858e+30,1.4,11000000000000.0,6840775.583033503,0.007,6.920414876273496e+27,0.0024859080011528953,computed_from_mdot,5.567716000000001e+29,0.0007533054548948167,0.0050848118205400125,A2
KS UMa,cataclysmic_variables,gravitational,1.8691618e+30,0.94,2250000000000.0,7812176.930555151,,4.6355212639999995e+25,2.4799999999999996e-05,tabulated_erd,,,,
KS UMa,cataclysmic_variables,nuclear,1.8691618e+30,0.94,2250000000000.0,7812176.930555151,0.007,1.4155394065104876e+27,0.0007573123988038315,computed_from_mdot,3.778093e+29,0.00047598238477424687,0.0011811829532750724,A2
KT Per,cataclysmic_variables,gravitational,1.4913525e+30,0.75,95000000000000.0,8422886.219205303,,1.953671775e+27,0.00131,tabulated_erd,,,,
KT Per,cataclysmic_variables,nuclear,1.4913525e+30,0.75,95000000000000.0,8422886.219205303,0.007,5.976721938599837e+28,0.040075850200404245,computed_from_mdot,2.982705e+29,0.017577127280879054,0.07382393457969202,A2
KV Dra,cataclysmic_variables,gravitational,1.4118136999999998e+30,0.7099999999999999,3000000000000.0,8578181.657944106,,6.197862142999998e+25,4.3899999999999996e-05,tabulated_erd,,,,
KV Dra,cataclysmic_variables,nuclear,1.4118136999999998e+30,0.7099999999999999,3000000000000.0,8578181.657944106,0.007,1.887385875347317e+27,0.0013368519340386889,computed_from_mdot,2.7838580000000004e+29,0.000744443037778407,0.0022202687091636706,A2
LL Lyr,cataclysmic_variables,gravitational,1.4913525e+30,0.75,90000000000000.0,8422886.219205303,,1.8641906249999998e+27,0.0012499999999999998,tabulated_erd,,,,
LL Lyr,cataclysmic_variables,nuclear,1.4913525e+30,0.75,90000000000000.0,8422886.219205303,0.007,5.662157626041951e+28,0.03796659492669876,computed_from_mdot,2.982705e+29,0.010546276368527431,0.07909707276395575,A2
LX And,cataclysmic_variables,gravitational,1.4913525e+30,0.75,85000000000000.0,8422886.219205303,,1.7597959499999998e+27,0.0011799999999999998,tabulated_erd,,,,
LX And,cataclysmic_variables,nuclear,1.4913525e+30,0.75,85000000000000.0,8422886.219205303,0.007,5.3475933134840645e+28,0.03585733965299327,computed_from_mdot,2.982705e+29,0.010546276368527433,0.07382393457969202,A2
NY Ser,cataclysmic_variables,gravitational,1.6106607e+30,0.81,33500000000000.0,8209556.237301669,,6.909734402999999e+26,0.00042899999999999997,tabulated_erd,,,,
NY Ser,cataclysmic_variables,nuclear,1.6106607e+30,0.81,33500000000000.0,8209556.237301669,0.007,2.107580894137837e+28,0.013085194753543295,computed_from_mdot,3.181552e+29,0.0042402554471398955,0.02628456571848375,A2
OU Vir,cataclysmic_variables,gravitational,1.391929e+30,0.7,14000000000000.0,8618837.154670784,,2.8952123199999998e+26,0.00020800000000000001,tabulated_erd,,,,
OU Vir,cataclysmic_variables,nuclear,1.391929e+30,0.7,14000000000000.0,8618837.154670784,0.007,8.807800751620812e+27,0.00632776582111646,computed_from_mdot,1.98847e+28,0.0031193211794236075,0.0096292088582207,A2
PU CMa,cataclysmic_variables,gravitational,9.146962e+29,0.46,2450000000000.0,9913539.574595995,,5.058269986e+25,5.53e-05,tabulated_erd,,,,
PU CMa,cataclysmic_variables,nuclear,9.146962e+29,0.46,2450000000000.0,9913539.574595995,0.007,1.5413651315336422e+27,0.0016851115501886223,computed_from_mdot,1.789623e+29,0.0010929777327382975,0.002565310468020186,A2
PY Per,cataclysmic_variables,gravitational,1.4913525e+30,0.75,12500000000000.0,8422886.219205303,,2.5800398250000002e+26,0.000173,tabulated_erd,,,,
PY Per,cataclysmic_variables,nuclear,1.4913525e+30,0.75,12500000000000.0,8422886.219205303,0.007,7.864107813947154e+27,0.005273138184263716,computed_from_mdot,2.982705e+29,0.0017577127280879053,0.010546276368527433,A2
QW Ser,cataclysmic_variables,gravitational,1.6901995e+30,0.85,26500000000000.0,8078704.320050045,,5.47624638e+26,0.000324,tabulated_erd,,,,
QW Ser,cataclysmic_variables,nuclear,1.6901995e+30,0.85,26500000000000.0,8078704.320050045,0.007,1.6671908565567967e+28,0.009863870250563893,computed_from_mdot,3.380399e+29,0.004342584387040708,0.01814579904584867,A2
QZ Ser,cataclysmic_variables,gravitational,1.4913525e+30,0.75,6000000000000.0,8422886.219205303,,1.2378225749999997e+26,8.299999999999998e-05,tabulated_erd,,,,
QZ Ser,cataclysmic_variables,nuclear,1.4913525e+30,0.75,6000000000000.0,8422886.219205303,0.007,3.774771750694634e+27,0.002531106328446584,computed_from_mdot,2.982705e+29,0.0007030850912351622,0.005273138184263717,A2
QZ Vir,cataclysmic_variables,gravitational,1.4118136999999998e+30,0.7099999999999999,55000000000000.0,8578181.657944106,,1.1350982147999996e+27,0.0008039999999999998,tabulated_erd,,,,
QZ Vir,cataclysmic_variables,nuclear,1.4118136999999998e+30,0.7099999999999999,55000000000000.0,8578181.657944106,0.007,3.460207438136748e+28,0.02450895212404263,computed_from_mdot,3.97694e+28,0.004334086178846891,0.04585337551533668,A2
RU LMi,cataclysmic_variables,gravitational,1.4913525e+30,0.75,20000000000000.0,8422886.219205303,,4.131046425e+26,0.000277,tabulated_erd,,,,
RU LMi,cataclysmic_variables,nuclear,1.4913525e+30,0.75,20000000000000.0,8422886.219205303,0.007,1.2582572502315446e+28,0.008437021094821947,computed_from_mdot,2.982705e+29,0.0024607978193230675,0.017401356008070263,A2
RU Peg,cataclysmic_variables,gravitational,2.1077782e+30,1.06,120000000000000.0,7505496.038996514,,2.4661004939999997e+27,0.0011699999999999998,tabulated_erd,,,,
