name,domain,segment,mass_kg,power_density_w_per_kg,luminosity_w,mdot_kg_s,mass_msun,radius_m,eta,track,phi_source,mass_kg_err,power_density_w_per_kg_lo,power_density_w_per_kg_hi,reference,data_source
J10581677-7717170,young_stellar_objects,,3.23669759741858e+30,5.531842462747819e-05,1.7904901208473945e+26,,1.627732677595629,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J10590108-7722407,young_stellar_objects,,1.658836438419672e+30,6.810333229984677e-06,1.1297228919678924e+25,,0.8342275409836066,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11004022-7619280,young_stellar_objects,,4.418936676961749e+29,4.442773276553876e-06,1.9632333779189444e+24,,0.2222279781420765,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11022491-7733357,young_stellar_objects,,3.23669759741858e+30,1.5235959293244935e-05,4.931419283881317e+25,,1.627732677595629,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11023265-7729129,young_stellar_objects,,6.66310870662295e+29,1.3161186108337756e-07,8.769441374795032e+22,,0.3350872131147541,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11025504-7721508,young_stellar_objects,,4.025628176918032e+29,9.292621964611748e-06,3.740864081818845e+24,,0.2024485245901639,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11040425-7639328,young_stellar_objects,,3.169603794469946e+29,2.147667034443141e-07,6.807253581628996e+22,,0.1593991256830601,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11040909-7627193,young_stellar_objects,,1.832354894321312e+30,0.0007078843916758276,1.2970954297008673e+27,,0.921489836065574,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11044258-7741571,young_stellar_objects,,4.465208265202186e+29,2.009695264379417e-07,8.973707905044664e+22,,0.2245549726775956,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11045701-7715569,young_stellar_objects,,6.593701324262294e+29,6.665652335385084e-05,4.395132063090068e+25,,0.3315967213114754,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11062554-7633418,young_stellar_objects,,1.8277277354972665e+29,2.891082113749402e-07,5.284110964899845e+22,,0.0919162841530054,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11063276-7625210,young_stellar_objects,,1.1105181177704915e+29,1.539736059585181e-07,1.7099047907538883e+22,,0.055847868852459,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11064180-7635489,young_stellar_objects,,2.6143447355846993e+29,5.964981137368523e-06,1.559451703434143e+24,,0.1314751912568306,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
J11064510-7727023,young_stellar_objects,,1.79302404431694e+30,9.319354144254785e-06,1.670982605815355e+25,,0.9017103825136612,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11065939-7530559,young_stellar_objects,,1.5269624119344252e+29,2.0851801530251156e-07,3.183991715781024e+22,,0.0767908196721311,,,,computed_from_lacc,,,,"Manara+16,17",Manara et al. (2022) PPVII
J11071181-7625501,young_stellar_objects,,1.5500982060546447e+29,4.0050940181986934e-08,6.208289052689983e+21,,0.0779543169398907,,,,computed_from_lacc,,,,,Manara et al. (2022) PPVII
